"Localidade","IBGE","nota_2015","meta_2015"
"Fernando Prestes",3515608,6.5,7.1
"Fernão",3515657,6,6
"Ferraz de Vasconcelos",3515707,5.9,5.6
"Flora Rica",3515806,0,5.9
"Floreal",3515905,6.6,6.7
"Flórida Paulista",3516002,6.7,5.6
"Florínia",3516101,6.7,5.9
"Franca",3516200,7.1,6.5
"Francisco Morato",3516309,5.5,5.6
"Franco da Rocha",3516408,5.7,5.6
"Gabriel Monteiro",3516507,0,6.3
"Gália",3516606,6.7,6
"Garça",3516705,6,6.4
"Gastão Vidigal",3516804,6.3,6.3
"Gavião Peixoto",3516853,5.9,6.4
"General Salgado",3516903,6,6.7
"Getulina",3517000,5.4,5.4
"Glicério",3517109,6.6,5.8
"Guaiçara",3517208,5.9,5.7
"Guaimbê",3517307,6.1,5.4
"Guaíra",3517406,6.6,5.8
"Guapiaçu",3517505,5.8,6
"Guapiara",3517604,6,6.2
"Guará",3517703,6.1,5.8
"Guaraçaí",3517802,7,6.1
"Guaraci",3517901,6.5,6.7
"Guarani d'Oeste",3518008,6.9,6.2
"Guarantã",3518107,5.8,6
"Guararapes",3518206,6.6,6
"Guararema",3518305,6.6,6.3
"Guaratinguetá",3518404,5.8,6
"Guareí",3518503,6.4,5.3
"Guariba",3518602,6,5.6
"Guarujá",3518701,6,5.5
"Guarulhos",3518800,6.2,5.6
"Guatapará",3518859,6.1,5.5
"Guzolândia",3518909,7.2,6
"Herculândia",3519006,5.8,5.9
"Holambra",3519055,6.7,5.1
"Hortolândia",3519071,6.5,5.9
"Iacanga",3519105,5.9,6
"Iacri",3519204,6.4,5.9
"Iaras",3519253,5.5,5.2
"Ibaté",3519303,6.2,5.9
"Ibirá",3519402,7.5,6.2
"Ibirarema",3519501,6.3,5.4
"Ibitinga",3519600,6.7,6.2
"Ibiúna",3519709,5.6,5.6
"Icém",3519808,5.7,5.7
"Iepê",3519907,6.2,6.1
"Igaraçu do Tietê",3520004,5.8,6.5
"Igarapava",3520103,5.9,5.7
"Igaratá",3520202,5.7,5.9
"Iguape",3520301,5.7,5.9
"Ilhabela",3520400,5.9,6.3
"Ilha Comprida",3520426,6.7,6.2
"Ilha Solteira",3520442,6.8,6.5
"Indaiatuba",3520509,7,6.5
"Indiana",3520608,6,6.3
"Indiaporã",3520707,7.6,6.6
"Inúbia Paulista",3520806,6,5.7
"Ipaussu",3520905,6.2,5.9
"Iperó",3521002,5.7,5.4
"Ipeúna",3521101,6.4,6.5
"Ipiguá",3521150,6.1,5.2
"Iporanga",3521200,6,5.4
"Ipuã",3521309,6.6,5.7
"Iracemápolis",3521408,7.1,6.5
"Irapuã",3521507,6.2,6.3
"Irapuru",3521606,6,5.7
"Itaberá",3521705,7,5.7
"Itaí",3521804,5.8,6
"Itajobi",3521903,7.1,6.6
"Itaju",3522000,6.9,6.5
"Itanhaém",3522109,6.2,5.6
"Itaóca",3522158,6,5
"Itapecerica da Serra",3522208,5.8,5.8
"Itapetininga",3522307,6.3,5.8
"Itapeva",3522406,6.5,6
"Itapevi",3522505,5.8,5.5
"Itapira",3522604,6.2,6.1
"Itapirapuã Paulista",3522653,5.7,5.1
"Itápolis",3522703,6.9,6.5
"Itaporanga",3522802,6.4,6
"Itapuí",3522901,5.9,6.9
"Itapura",3523008,5.9,6.2
"Itaquaquecetuba",3523107,5.4,5.2
"Itararé",3523206,6.3,6.1
"Itariri",3523305,6.3,5.9
"Itatiba",3523404,6.8,6
"Itatinga",3523503,6.3,5.7
"Itirapina",3523602,6.2,6.1
"Itirapuã",3523701,5.7,5.4
"Itobi",3523800,6.2,6.2
"Itu",3523909,5.9,6.2
"Itupeva",3524006,6.2,6.1
"Ituverava",3524105,5.9,5.8
"Jaborandi",3524204,6.4,6.2
"Jaboticabal",3524303,6.2,6
"Jacareí",3524402,6.3,5.8
"Jaci",3524501,5.7,6.2
"Jacupiranga",3524600,6.1,5.8
"Jaguariúna",3524709,7.1,6
"Jales",3524808,7.2,6.7
"Jambeiro",3524907,5.4,5.7
"Jandira",3525003,5.5,5.5
"Jardinópolis",3525102,6.2,5.1
"Jarinu",3525201,6,5.9
"Jaú",3525300,6.3,6.1
"Jeriquara",3525409,5.3,5.5
"Joanópolis",3525508,6.5,6.4
"João Ramalho",3525607,6.6,6.3
"José Bonifácio",3525706,6.1,5.7
"Júlio Mesquita",3525805,5.1,5.4
"Jumirim",3525854,6.5,6.1
"Jundiaí",3525904,6.8,6.3
"Junqueirópolis",3526001,7.8,6.7
"Juquiá",3526100,6.2,6.2
"Juquitiba",3526209,5.9,5.4
"Lagoinha",3526308,6.5,6.1
"Laranjal Paulista",3526407,6,6
"Lavínia",3526506,6.3,7.1
"Lavrinhas",3526605,5.5,5.7
"Leme",3526704,6.7,6.1
"Lençóis Paulista",3526803,6.6,6.2
"Limeira",3526902,6.4,6.5
"Lindóia",3527009,5.9,6
"Lins",3527108,6.1,6
"Lorena",3527207,5.5,5.6
"Lourdes",3527256,7.5,6.2
"Louveira",3527306,7,6.4
"Lucélia",3527405,7,6
"Lucianópolis",3527504,6.1,5.7
"Luís Antônio",3527603,5.3,5.5
"Luiziânia",3527702,7,5.4
"Lupércio",3527801,6.5,6.4
"Lutécia",3527900,5.5,5.8
"Macatuba",3528007,6.8,6.2
"Macaubal",3528106,6.2,6.6
"Macedônia",3528205,6.4,6.1
"Magda",3528304,6.7,6.1
"Mairinque",3528403,5.7,5.9
"Mairiporã",3528502,5.9,6.1
"Manduri",3528601,5.5,5.3
"Marabá Paulista",3528700,6.4,6.3
"Maracaí",3528809,6.6,6.1
"Marapoama",3528858,7.2,5.8
"Mariápolis",3528908,6,6.6
"Marília",3529005,7,6.6
"Marinópolis",3529104,6.4,6.8
"Martinópolis",3529203,6.8,6.3
"Matão",3529302,6.4,6.4
"Mauá",3529401,6.5,6
"Mendonça",3529500,7.3,6.7
"Meridiano",3529609,7,6.9
"Mesópolis",3529658,0,6.2
"Miguelópolis",3529708,5.7,6
"Mineiros do Tietê",3529807,6.6,6.5
"Miracatu",3529906,6.2,5.7
"Mira Estrela",3530003,6.8,6
"Mirandópolis",3530102,6.6,6.4
"Mirante do Paranapanema",3530201,6.2,5.9
"Mirassol",3530300,6.1,6.5
"Mirassolândia",3530409,6.8,6.2
"Mococa",3530508,6.4,6.1
"Mogi das Cruzes",3530607,6.3,5.7
"Mogi Guaçu",3530706,6.5,5.9
"Moji Mirim",3530805,5.8,6.1
"Mombuca",3530904,5.1,5.9
"Monções",3531001,6.4,5.8
"Mongaguá",3531100,5.9,5.5
"Monte Alegre do Sul",3531209,6.2,5.8
"Monte Alto",3531308,6.4,5.8
"Monte Aprazível",3531407,6.4,6.3
"Monte Azul Paulista",3531506,6.2,6
"Monte Castelo",3531605,6.4,6.6
"Monteiro Lobato",3531704,6.8,5.5
"Monte Mor",3531803,6,5.4
"Morro Agudo",3531902,5.7,5.6
"Morungaba",3532009,6.3,6
"Motuca",3532058,6.3,6.3
"Murutinga do Sul",3532108,6.7,6
"Nantes",3532157,6.1,5.5
"Narandiba",3532207,6,5.5
"Natividade da Serra",3532306,6.1,5.4
"Nazaré Paulista",3532405,5.9,5.8
"Neves Paulista",3532504,5.7,6.2
"Nhandeara",3532603,7.7,6.3
"Nipoã",3532702,5.9,5.5
"Nova Aliança",3532801,5.8,6.2
"Nova Campina",3532827,6.1,5.1
"Nova Canaã Paulista",3532843,7.3,5.7
"Nova Castilho",3532868,0,6.2
"Nova Europa",3532900,6.2,6
"Nova Granada",3533007,6.3,6.3
"Nova Guataporanga",3533106,6.7,5.8
"Nova Independência",3533205,5.9,5.3
"Novais",3533254,6.8,6.3
"Nova Luzitânia",3533304,6.8,6.2
"Nova Odessa",3533403,6.5,6.2
"Novo Horizonte",3533502,7.6,6.5
"Nuporanga",3533601,6.6,6.3
"Ocauçu",3533700,7.4,5.7
"Óleo",3533809,0,5.9
"Olímpia",3533908,6.5,6
"Onda Verde",3534005,6.7,6.2
"Oriente",3534104,6,5.7
"Orindiúva",3534203,7,7
"Orlândia",3534302,6.3,6.2
"Osasco",3534401,5.9,5.8
"Oscar Bressane",3534500,6.8,6.8
"Osvaldo Cruz",3534609,6.4,6.3
"Ourinhos",3534708,6.4,6
"Ouroeste",3534757,6,6.4
"Ouro Verde",3534807,6.6,6.8
"Pacaembu",3534906,6.6,5.9
"Palestina",3535002,6.1,6.4
"Palmares Paulista",3535101,6.3,5.7
"Palmeira d'Oeste",3535200,7.4,6.4
"Palmital",3535309,6.4,5.8
"Panorama",3535408,6.4,6.3
"Paraguaçu Paulista",3535507,6.4,6
"Paraibuna",3535606,5.9,5.3
"Paraíso",3535705,6.7,5.9
"Paranapanema",3535804,5.7,5.7
"Paranapuã",3535903,6.6,5.8
"Parapuã",3536000,6.3,6.1
"Pardinho",3536109,6.2,5.8
"Pariquera-Açu",3536208,6,5.8
"Parisi",3536257,6.1,6.5
"Patrocínio Paulista",3536307,6.7,6.3
"Paulicéia",3536406,6.4,5.7
"Paulínia",3536505,6.4,5.7
"Paulistânia",3536570,7.4,4.8
"Paulo de Faria",3536604,6,6
"Pederneiras",3536703,6.3,5.8
"Pedra Bela",3536802,6.1,6
"Pedranópolis",3536901,6.7,6.4
"Pedregulho",3537008,5.5,6
"Pedreira",3537107,6.8,6.5
"Pedrinhas Paulista",3537156,6.5,6.3
"Pedro de Toledo",3537206,6.1,5.4
"Penápolis",3537305,6.5,6
"Pereira Barreto",3537404,7.8,6.5
"Pereiras",3537503,6.4,5.7
"Peruíbe",3537602,6.1,5.6
"Piacatu",3537701,6.3,6
"Piedade",3537800,6.6,6
"Pilar do Sul",3537909,6.5,6
"Pindamonhangaba",3538006,6.4,5.9
"Pindorama",3538105,6.1,5.6
"Pinhalzinho",3538204,5.9,6.2
"Piquerobi",3538303,6.2,6.7
"Piquete",3538501,6.3,6
"Piracaia",3538600,6,5.7
"Piracicaba",3538709,6.6,6.2
"Piraju",3538808,6.3,6.3
"Pirajuí",3538907,5.7,5.5
"Pirangi",3539004,5.6,6.2
"Pirapora do Bom Jesus",3539103,5,5.4
"Pirapozinho",3539202,6,6.7
"Pirassununga",3539301,6.3,5.8
"Piratininga",3539400,5.4,6.1
"Pitangueiras",3539509,6.2,5.4
"Planalto",3539608,6.1,5.5
"Platina",3539707,6.3,5.1
"Poá",3539806,6.2,5.6
"Poloni",3539905,6.3,6.1
"Pompéia",3540002,7.4,6.5
"Pongaí",3540101,6.3,7.1
"Pontal",3540200,5.2,5.7
"Pontalinda",3540259,5.7,5.5
"Pontes Gestal",3540309,6,5.8
"Populina",3540408,6.9,6.4
"Porangaba",3540507,5.7,5.5
"Porto Feliz",3540606,6,6.1
"Porto Ferreira",3540705,6.3,5.3
"Potim",3540754,5.1,5.2
"Potirendaba",3540804,6.9,6.3
"Pracinha",3540853,0,5.3
"Pradópolis",3540903,5.9,6
"Praia Grande",3541000,5.8,5.6
"Pratânia",3541059,5.9,5.3
"Presidente Alves",3541109,0,6.3
"Presidente Bernardes",3541208,6.1,6
"Presidente Epitácio",3541307,6.4,5.9
"Presidente Prudente",3541406,6.4,6.5
"Presidente Venceslau",3541505,7.1,6.5
"Promissão",3541604,6.2,6.4
"Quadra",3541653,5.9,5.7
"Quatá",3541703,5.7,6.1
"Queiroz",3541802,6.5,5.3
"Queluz",3541901,5.3,5.8
"Quintana",3542008,7,6
"Rafard",3542107,6.2,6
"Rancharia",3542206,6,5.9
"Redenção da Serra",3542305,6.6,5.4
"Regente Feijó",3542404,6.3,6.3
"Reginópolis",3542503,6,5.1
"Registro",3542602,6.2,6.1
"Restinga",3542701,5.1,6
"Ribeira",3542800,6.7,5.7
"Ribeirão Bonito",3542909,5.6,5.3
"Ribeirão Branco",3543006,6.7,5.5
"Ribeirão Corrente",3543105,5.8,5.1
"Ribeirão do Sul",3543204,6.4,6.4
"Ribeirão dos Índios",3543238,0,5.8
"Ribeirão Grande",3543253,5.9,5.6
"Ribeirão Pires",3543303,6.5,6.3
"Ribeirão Preto",3543402,6.1,6
"Riversul",3543501,6,5.9
"Rifaina",3543600,5.8,5.8
"Rincão",3543709,5.1,5.6
"Rinópolis",3543808,6.6,5.5
"Rio Claro",3543907,6.6,6.4
"Rio das Pedras",3544004,5.7,5.8
"Rio Grande da Serra",3544103,6.2,5.6
"Riolândia",3544202,6.2,5.2
"Rosana",3544251,6.3,6
"Roseira",3544301,6.2,5.9
"Rubiácea",3544400,6.3,7
"Rubinéia",3544509,6.1,6.8
"Sabino",3544608,6.8,5.5
"Sagres",3544707,7.1,6.7
"Sales",3544806,6.1,5.5
"Sales Oliveira",3544905,6.2,6.1
"Salesópolis",3545001,6.4,6
"Salmourão",3545100,6.4,6.1
"Saltinho",3545159,6.9,6.3
"Salto",3545209,6.6,6.3
"Salto de Pirapora",3545308,6.3,5.9
"Salto Grande",3545407,6,5.6
"Sandovalina",3545506,5.3,5.2
"Santa Adélia",3545605,6.4,6.2
"Santa Albertina",3545704,6.3,6
"Santa Bárbara d'Oeste",3545803,6.9,6.5
"Santa Branca",3546009,5.9,5.5
"Santa Clara d'Oeste",3546108,0,6.1
"Santa Cruz da Conceição",3546207,6.3,6.1
"Santa Cruz da Esperança",3546256,5.8,5.1
"Santa Cruz das Palmeiras",3546306,6.6,5.9
"Santa Cruz do Rio Pardo",3546405,6.9,6.1
"Santa Ernestina",3546504,6.7,5.7
"Santa Fé do Sul",3546603,6.6,6
"Santa Gertrudes",3546702,6.6,6.1
"Santa Isabel",3546801,6,6
"Santa Lúcia",3546900,6,6.4
"Santa Maria da Serra",3547007,5.5,6.8
"Santa Mercedes",3547106,6.2,5.7
"Santana da Ponte Pensa",3547205,0,6.5
"Santana de Parnaíba",3547304,5.7,5.7
"Santa Rita d'Oeste",3547403,6.6,6.9
"Santa Rita do Passa Quatro",3547502,6.1,6.2
"Santa Rosa de Viterbo",3547601,5.9,5.9
"Santa Salete",3547650,7.6,6.8
"Santo Anastácio",3547700,6.3,5.9
"Santo André",3547809,6.4,6.2
"Santo Antônio da Alegria",3547908,7,6.2
"Santo Antônio de Posse",3548005,5.6,5.7
"Santo Antônio do Aracanguá",3548054,6.5,5.2
"Santo Antônio do Jardim",3548104,6.7,6.7
"Santo Antônio do Pinhal",3548203,6.3,6
"Santo Expedito",3548302,5.5,5.4
"Santópolis do Aguapeí",3548401,6.9,5.9
"Santos",3548500,6.1,5.7
"São Bento do Sapucaí",3548609,6.4,5.7
"São Bernardo do Campo",3548708,6.8,6.1
"São Caetano do Sul",3548807,7.2,6.6
"São Carlos",3548906,6.8,6.4
"São Francisco",3549003,7.2,5.9
"São João da Boa Vista",3549102,6.7,6.5
"São João das Duas Pontes",3549201,6.6,7.3
"São João de Iracema",3549250,6.9,5.7
"São João do Pau d'Alho",3549300,0,5.7
"São Joaquim da Barra",3549409,6.7,5.7
"São José da Bela Vista",3549508,5.5,5.4
"São José do Barreiro",3549607,5.2,5.3
"São José do Rio Pardo",3549706,6.4,6
"São José do Rio Preto",3549805,6.7,6.4
"São José dos Campos",3549904,6.6,6.2
"São Lourenço da Serra",3549953,6.2,6
"São Luís do Paraitinga",3550001,6,5.6
"São Manuel",3550100,6.1,5.9
"São Miguel Arcanjo",3550209,6.7,6
"São Paulo",3550308,6.1,5.7
"São Pedro",3550407,6,5.6
"São Pedro do Turvo",3550506,6.3,5.7
"São Roque",3550605,5.7,5.8
"São Sebastião",3550704,5.7,5.5
"São Sebastião da Grama",3550803,5.9,5.7
"São Simão",3550902,5.8,5.4
"São Vicente",3551009,5.4,5.9
"Sarapuí",3551108,6.1,6.1
"Sarutaiá",3551207,6,5.2
"Sebastianópolis do Sul",3551306,6.9,7
"Serra Azul",3551405,5.3,5.1
"Serrana",3551504,6.3,5.6
"Serra Negra",3551603,6.7,5.6
"Sertãozinho",3551702,6.7,6.2
"Sete Barras",3551801,5.9,6.6
"Severínia",3551900,5.7,5.8
"Silveiras",3552007,5.7,6
"Socorro",3552106,7,6
"Sorocaba",3552205,6.5,6.1
"Sud Mennucci",3552304,6.2,7
"Sumaré",3552403,5.9,6
"Suzano",3552502,6,6
"Suzanápolis",3552551,0,5.7
"Tabapuã",3552601,7.4,6.5
"Tabatinga",3552700,5.9,6.1
"Taboão da Serra",3552809,6.4,5.8
"Taciba",3552908,6.2,5.4
"Taguaí",3553005,7.1,6.8
"Taiaçu",3553104,5.4,5.9
"Taiúva",3553203,0,6.3
"Tambaú",3553302,5.9,5.4
"Tanabi",3553401,7.2,6.4
"Tapiraí",3553500,6.3,5.8
"Tapiratiba",3553609,6.5,6.7
"Taquaral",3553658,0,5.3
"Taquaritinga",3553708,5.9,6.3
"Taquarituba",3553807,7,5.9
"Taquarivaí",3553856,6.2,7.8
"Tarabai",3553906,5.6,5.8
"Tarumã",3553955,6.1,5.6
"Tatuí",3554003,6.3,5.8
"Taubaté",3554102,5.8,5.6
"Tejupá",3554201,5.2,5.3
"Teodoro Sampaio",3554300,6.6,6
"Terra Roxa",3554409,6.4,6.1
"Tietê",3554508,6,6
"Timburi",3554607,5.4,5.8
"Torre de Pedra",3554656,5.6,5.5
"Torrinha",3554706,6.8,7.6
"Trabiju",3554755,6.8,4.9
"Tremembé",3554805,6.2,5
"Três Fronteiras",3554904,6.4,5.8
"Tuiuti",3554953,6.1,5.2
"Tupã",3555000,6.3,6.3
"Tupi Paulista",3555109,7.9,6.5
"Turiúba",3555208,6.9,5.7
"Turmalina",3555307,6.5,6.7
"Ubarana",3555356,5.8,5.8
"Ubatuba",3555406,5.6,5.5
"Ubirajara",3555505,6.4,6
"Uchoa",3555604,6.1,5.9
"União Paulista",3555703,0,5.4
"Urânia",3555802,7,6.3
"Uru",3555901,0,5.7
"Urupês",3556008,6.6,6.4
"Valentim Gentil",3556107,6.8,6.9
"Valinhos",3556206,6.2,5.6
"Valparaíso",3556305,7.6,6.3
"Vargem",3556354,5.8,4.9
"Vargem Grande do Sul",3556404,6.6,6.3
"Vargem Grande Paulista",3556453,6,6
"Várzea Paulista",3556503,6.4,5.9
"Vera Cruz",3556602,6.3,5.7
"Vinhedo",3556701,6.6,6.2
"Viradouro",3556800,5.5,6.4
"Vista Alegre do Alto",3556909,6.6,6.1
"Vitória Brasil",3556958,0,5.6
"Votorantim",3557006,6.4,6.4
"Votuporanga",3557105,6.6,7.1
"Zacarias",3557154,6.4,6.2
"Chavantes",3557204,5.7,6.2
"Estiva Gerbi",3557303,6.1,6.2
"Abatiá",4100103,5.5,5.4
"Adrianópolis",4100202,5.1,5.3
"Agudos do Sul",4100301,5.3,5.5
"Almirante Tamandaré",4100400,5,5.2
"Altamira do Paraná",4100459,5.4,5.2
"Altônia",4100509,6.1,5.1
"Alto Paraná",4100608,5.9,5.9
"Alto Piquiri",4100707,5.5,5.5
"Alvorada do Sul",4100806,5.3,5.5
"Amaporã",4100905,5,5
"Ampére",4101002,6.1,6.2
"Anahy",4101051,5.6,5.8
"Andirá",4101101,6.3,5.5
"Ângulo",4101150,5.3,5.7
"Antonina",4101200,4.7,4.7
"Antônio Olinto",4101309,6.1,5.8
"Apucarana",4101408,7,5.8
"Arapongas",4101507,6.5,6.1
"Arapoti",4101606,6.4,5
"Arapuã",4101655,6.3,5.2
"Araruna",4101705,5.9,5.4
"Araucária",4101804,5.4,5.7
"Ariranha do Ivaí",4101853,0,5.2
"Assaí",4101903,5.8,5.5
"Assis Chateaubriand",4102000,6.5,5.8
"Astorga",4102109,7,6
"Atalaia",4102208,8.1,6.1
"Balsa Nova",4102307,5.7,5.8
"Bandeirantes",4102406,5.9,5.3
"Barbosa Ferraz",4102505,5.3,5.4
"Barracão",4102604,5.7,5.7
"Barra do Jacaré",4102703,6.3,5.7
"Bela Vista da Caroba",4102752,5.7,4.9
"Bela Vista do Paraíso",4102802,5.1,5.2
"Bituruna",4102901,6,5.7
"Boa Esperança",4103008,6.9,5.9
"Boa Esperança do Iguaçu",4103024,6.5,5.5
"Boa Ventura de São Roque",4103040,5.5,5
"Boa Vista da Aparecida",4103057,5.4,5.6
"Bocaiúva do Sul",4103107,5.5,5.3
"Bom Jesus do Sul",4103156,5.9,5.5
"Bom Sucesso",4103206,5.4,5
"Bom Sucesso do Sul",4103222,7.2,5.8
"Borrazópolis",4103305,6.4,5.5
"Braganey",4103354,5.7,5.3
"Brasilândia do Sul",4103370,5.4,5.2
"Cafeara",4103404,5.1,5
"Cafelândia",4103453,6.8,6
"Cafezal do Sul",4103479,5.4,5.4
"Califórnia",4103503,6,6.1
"Cambará",4103602,5,5.3
"Cambé",4103701,6.7,5.6
"Cambira",4103800,6.2,5.4
"Campina da Lagoa",4103909,5.4,5
"Campina do Simão",4103958,5,5.2
"Campina Grande do Sul",4104006,6.4,5.7
"Campo Bonito",4104055,5.5,5.7
"Campo do Tenente",4104105,6.1,5
"Campo Largo",4104204,5.9,5.8
"Campo Magro",4104253,5.6,5.4
"Campo Mourão",4104303,5.9,5.6
"Cândido de Abreu",4104402,6.2,5.3
"Candói",4104428,5.1,5.1
"Cantagalo",4104451,5.2,4.7
"Capanema",4104501,6.5,6.1
"Capitão Leônidas Marques",4104600,6.7,6.2
"Carambeí",4104659,6,5.9
"Carlópolis",4104709,6.4,5.8
"Cascavel",4104808,6.3,6
"Castro",4104907,6.1,5.8
"Catanduvas",4105003,5.6,5.8
"Centenário do Sul",4105102,4.9,4.9
"Cerro Azul",4105201,4.7,4.9
"Céu Azul",4105300,7.4,6.3
"Chopinzinho",4105409,6.3,5.9
"Cianorte",4105508,6.6,5.8
"Cidade Gaúcha",4105607,5.8,5.7
"Clevelândia",4105706,5.7,5.6
"Colombo",4105805,5.9,5.4
"Colorado",4105904,5.4,5.4
"Congonhinhas",4106001,5.3,6.1
"Conselheiro Mairinck",4106100,5.1,5.4
"Contenda",4106209,5.7,5.9
"Corbélia",4106308,6.1,5.8
"Cornélio Procópio",4106407,5.7,5.6
"Coronel Domingos Soares",4106456,4.8,4.4
"Coronel Vivida",4106506,6,6
"Corumbataí do Sul",4106555,5.5,5
"Cruzeiro do Iguaçu",4106571,5.9,5.8
"Cruzeiro do Oeste",4106605,6.1,5.3
"Cruzeiro do Sul",4106704,5.3,5
"Cruz Machado",4106803,6,5.2
"Cruzmaltina",4106852,0,4.8
"Curitiba",4106902,6.3,6
"Curiúva",4107009,5.7,4.9
"Diamante do Norte",4107108,5.9,5.6
"Diamante do Sul",4107124,5.6,5.7
"Diamante d'Oeste",4107157,5.8,6.2
"Dois Vizinhos",4107207,6.6,6.2
"Douradina",4107256,6.9,5.6
"Doutor Camargo",4107306,6.8,6
"Enéas Marques",4107405,6.4,6.5
"Engenheiro Beltrão",4107504,5.7,5.6
"Esperança Nova",4107520,0,5.9
"Entre Rios do Oeste",4107538,6.4,6.3
"Espigão Alto do Iguaçu",4107546,5.4,5.1
"Farol",4107553,5.8,5.5
"Faxinal",4107603,5.5,5
"Fazenda Rio Grande",4107652,6.1,5.7
"Fênix",4107702,5.1,5.4
"Fernandes Pinheiro",4107736,5.9,4.5
"Figueira",4107751,5.5,5.6
"Floraí",4107801,7,6
"Flor da Serra do Sul",4107850,6.4,5.2
"Floresta",4107900,6.4,5.4
"Florestópolis",4108007,5.5,5.2
"Flórida",4108106,6,5
"Formosa do Oeste",4108205,5.8,4.8
"Foz do Iguaçu",4108304,7.1,5.5
"Francisco Alves",4108320,5.4,5.3
"Francisco Beltrão",4108403,6.3,6.1
"Foz do Jordão",4108452,5,4.9
"General Carneiro",4108502,4.9,5.5
"Godoy Moreira",4108551,5,5.2
"Goioerê",4108601,5.7,5
"Goioxim",4108650,5.3,5
"Grandes Rios",4108700,5.6,5.4
"Guaíra",4108809,5.4,4.8
"Guairaçá",4108908,4.9,5.2
"Guamiranga",4108957,6.6,6
"Guapirama",4109005,6.6,5.4
"Guaporema",4109104,6.2,5.5
"Guaraci",4109203,6,5.3
"Guaraniaçu",4109302,6,5.9
"Guarapuava",4109401,6,5.6
"Guaraqueçaba",4109500,4.8,4.4
"Guaratuba",4109609,5.7,4.8
"Honório Serpa",4109658,5.8,5.1
"Ibaiti",4109708,5.7,5.2
"Ibema",4109757,5.7,5.9
"Ibiporã",4109807,5.8,5.6
"Icaraíma",4109906,4.9,5.5
"Iguaraçu",4110003,5.8,5.7
"Iguatu",4110052,6.3,5.6
"Imbaú",4110078,4.9,5.3
"Imbituva",4110102,5.3,5.4
"Inácio Martins",4110201,4.9,4.9
"Inajá",4110300,6.1,5.3
"Indianópolis",4110409,6.5,5.4
"Ipiranga",4110508,0,5.3
"Iporã",4110607,5.6,5.5
"Iracema do Oeste",4110656,6.4,5.3
"Irati",4110706,6.3,5.3
"Iretama",4110805,5.8,5.5
"Itaguajé",4110904,4.9,4.8
"Itaipulândia",4110953,6.9,5.8
"Itambaracá",4111001,5.5,5.3
"Itambé",4111100,5.9,5.6
"Itapejara d'Oeste",4111209,6.6,6.3
"Itaperuçu",4111258,4.9,4.5
"Itaúna do Sul",4111308,4.8,5.2
"Ivaí",4111407,6,5.9
"Ivaiporã",4111506,6.4,5.8
"Ivaté",4111555,6.3,4.5
"Ivatuba",4111605,7,7
"Jaboti",4111704,6.1,6.1
"Jacarezinho",4111803,4.9,4.5
"Jaguapitã",4111902,6.2,5.4
"Jaguariaíva",4112009,6.2,4.9
"Jandaia do Sul",4112108,6,5.3
"Janiópolis",4112207,5.7,5.5
"Japira",4112306,5.8,5.7
"Japurá",4112405,7,6
"Jardim Alegre",4112504,5.2,5.3
"Jardim Olinda",4112603,6,5.7
"Jataizinho",4112702,5.2,4.9
"Jesuítas",4112751,5.4,5.8
"Joaquim Távora",4112801,7.3,5.3
"Jundiaí do Sul",4112900,6.1,4.9
"Juranda",4112959,5.5,5.5
"Jussara",4113007,6.2,5.8
"Kaloré",4113106,6.2,5.8
"Lapa",4113205,6.1,5.4
"Laranjal",4113254,4.7,4.4
"Laranjeiras do Sul",4113304,6,5.1
"Leópolis",4113403,5.6,5.3
"Lidianópolis",4113429,5.5,5.3
"Lindoeste",4113452,5.2,5.3
"Loanda",4113502,6.4,4.5
"Lobato",4113601,6,6.6
"Londrina",4113700,6.5,6
"Luiziana",4113734,5.1,5.2
"Lunardelli",4113759,5.5,5.2
"Lupionópolis",4113809,4.7,5.5
"Mallet",4113908,6.5,6
"Mamborê",4114005,6,6
"Mandaguaçu",4114104,6.1,5.2
"Mandaguari",4114203,6.9,5.9
"Mandirituba",4114302,5.5,5.6
"Manfrinópolis",4114351,6.2,5.4
"Mangueirinha",4114401,5.7,5.1
"Manoel Ribas",4114500,5.3,5.1
"Marechal Cândido Rondon",4114609,6.1,5.9
"Maria Helena",4114708,5.3,5.2
"Marialva",4114807,6.2,5.2
"Marilândia do Sul",4114906,5.3,5.7
"Marilena",4115002,6.9,5.8
"Mariluz",4115101,5.5,4.6
"Maringá",4115200,7.1,6
"Mariópolis",4115309,5.9,5.8
"Maripá",4115358,6.8,6.2
"Marmeleiro",4115408,6.6,6.2
"Marquinho",4115457,5.7,5.2
"Marumbi",4115507,5.9,5.3
"Matelândia",4115606,6.6,5.8
"Matinhos",4115705,6.2,5.3
"Mato Rico",4115739,4.7,4.9
"Mauá da Serra",4115754,5,4.7
"Medianeira",4115804,7.1,5.9
"Mercedes",4115853,6.3,6.1
"Mirador",4115903,5.9,5.2
"Miraselva",4116000,5.3,5.6
"Missal",4116059,6.5,6.2
"Moreira Sales",4116109,5.2,5.1
"Morretes",4116208,5.1,5
"Munhoz de Melo",4116307,5.6,5.2
"Nossa Senhora das Graças",4116406,3.8,5.9
"Nova Aliança do Ivaí",4116505,4.9,4.9
"Nova América da Colina",4116604,5.8,4.5
"Nova Aurora",4116703,6.6,5.4
"Nova Cantu",4116802,4.9,4.9
"Nova Esperança",4116901,5.8,5.4
"Nova Esperança do Sudoeste",4116950,6.7,6
